Turn,Color.RED_VP,Color.BLUE_VP,Color.RED_Class,Color.BLUE_Class,Num_Players,Num_Turns,Winner,Game_ID
0,0,0,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
1,1,0,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
2,1,0,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
3,1,1,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
4,1,1,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
5,1,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
6,1,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
7,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
8,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
9,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
10,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
11,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
12,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
13,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
14,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
15,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
16,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
17,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
18,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
19,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
20,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
21,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
22,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
23,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
24,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
25,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
26,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
27,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
28,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
29,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
30,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
31,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
32,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
33,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
34,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
35,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
36,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
37,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
38,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
39,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
40,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
41,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
42,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
43,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
44,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
45,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
46,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
47,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
48,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
49,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
50,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
51,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
52,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
53,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
54,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
55,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
56,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
57,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
58,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
59,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
60,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
61,2,2,ResourceHoarderPlayer,RandomPlayer,2,777,Color.BLUE,2
